Affinity,Threshold,method,count,lower_whisker,Q1,median,Q3,upper_whisker,Threshold_original,layer,type,model,chain,Mean_Num_Points,layer_norm2,Loneliness,Vicinty_corr,IQR
hb,3,LD1,12542,0.210526315789474,0.683081197900587,0.933333333333333,1,1,0.00056788210105156,9,Att_mat,esm2,paired_chain,151.504095869097,25,,,0.316918802099413
hb,4,LD1,12542,0.166666666666667,0.666666666666667,0.893617021276596,1,1,0.00063509793499285,9,Att_mat,esm2,paired_chain,277.282939546003,25,,,0.333333333333333
hb,5,LD1,12542,0.134615384615385,0.638297872340426,0.85165577935039,0.974358974358974,1,0.00070231376893414,9,Att_mat,esm2,paired_chain,478.217055301961,25,,,0.336061102018549
hb,6,LD1,12542,0.111111111111111,0.611037102822183,0.813611959153595,0.944444444444444,1,0.000769529602875431,9,Att_mat,esm2,paired_chain,743.999052025266,25,,,0.333407341622262
hb,7,LD1,12542,0.1,0.5870908805155,0.776518887546967,0.91304347826087,1,0.000836745436816721,9,Att_mat,esm2,paired_chain,1021.66352048965,25,,,0.325952597745369
hb,8,LD1,12542,0.0870552611657835,0.562370152354571,0.744106675132947,0.879919641799699,1,0.000903961270758012,9,Att_mat,esm2,paired_chain,1268.19413904316,25,,,0.317549489445128
hb,9,LD1,12542,0.0833333333333333,0.543718226877343,0.715586096727994,0.850959446825448,1,0.000971177104699302,9,Att_mat,esm2,paired_chain,1465.70148069532,25,,,0.307241219948105
hb,10,LD1,12542,0.0822429906542056,0.5300842975531,0.694847423711856,0.828890276418998,1,0.00103839293864059,9,Att_mat,esm2,paired_chain,1615.55808921267,25,,,0.298805978865898
hb,11,LD1,12542,0.0802675585284281,0.520164195407642,0.680840420210105,0.813904160516983,1,0.00110560877258188,9,Att_mat,esm2,paired_chain,1723.49426578326,25,,,0.293739965109342
hb,12,LD1,12542,0.0794701986754967,0.513256628314157,0.670157929370476,0.803401700850425,1,0.00117282460652317,9,Att_mat,esm2,paired_chain,1800.90948902101,25,,,0.290145072536268
hb,13,LD1,12542,0.0805402701350675,0.508754377188594,0.664332166083042,0.797398699349675,1,0.00124004044046446,9,Att_mat,esm2,paired_chain,1857.3551092747,25,,,0.288644322161081
hb,14,LD1,12542,0.071535767883942,0.503751875937969,0.659381026072302,0.793896948474237,1,0.00130725627440575,9,Att_mat,esm2,paired_chain,1899,25,,,0.290145072536268
hb,0,LD1,12715,0.523809523809524,0.8,1,1,1,0.00104186068583034,8,Pooled,antiberta2-cssp,paired_chain,19.0000103040732,46.6666666666667,,,0.2
hb,1,LD1,12715,0.588235294117647,0.833333333333333,1,1,1,0.00116593903648986,8,Pooled,antiberta2-cssp,paired_chain,33.4769240280683,46.6666666666667,,,0.166666666666667
hb,2,LD1,12715,0.523809523809524,0.80952380952381,0.970588235294118,1,1,0.00129001738714937,8,Pooled,antiberta2-cssp,paired_chain,57.5625920926542,46.6666666666667,,,0.19047619047619
